120,180,120,270
120,270,120,330
120,330,120,390
120,390,120,450
120,450,120,510
120,510,120,570
120,270,180,270
180,270,180,390
180,390,120,390
120,330,60,330
60,330,60,450
60,450,120,450
120,450,180,450
180,450,270,450
270,450,270,330
270,330,270,450
270,450,180,450
180,450,120,450
120,570,180,570
180,570,180,450
120,510,60,510
60,510,60,630
60,630,390,630
390,630,390,330
390,330,270,330
120,180,180,180
180,180,120,180
120,180,120,120
120,120,120,180
120,120,270,120
270,120,120,120
180,180,180,270
180,270,180,180
180,180,270,180
270,180,180,180
270,180,270,330
270,330,270,180
270,120,390,120
390,120,270,120
390,120,390,240
390,240,390,120
270,180,390,180
390,180,270,180
390,180,390,120
390,120,390,180
390,180,390,240
390,240,390,180
330,240,390,240
390,240,330,240
330,240,330,480
330,480,330,240
330,480,450,480
450,480,330,480
450,480,450,180
450,180,450,480
450,180,390,180
390,180,450,180
450,180,450,330
450,330,450,180
450,180,540,180
540,180,450,180
450,180,450,120
450,120,540,120
540,120,450,120
540,120,540,180
540,180,540,120
540,180,540,270
540,270,540,180
540,270,540,360
540,360,540,270
540,270,450,180
450,180,540,270
540,360,540,390
540,390,540,330
540,330,540,270
540,270,540,330
540,390,540,360
540,360,540,390
540,390,540,420
540,420,540,390
540,420,450,330
450,330,540,420
540,390,600,390
600,390,540,390
600,390,600,270
600,270,600,390
600,270,540,270
540,270,600,270
540,360,570,360
570,360,570,330
570,330,540,330
450,480,450,540
450,540,450,480
450,540,540,450
540,450,450,540
540,450,600,390
600,390,540,450
540,420,540,450
540,450,540,420
540,450,540,540
540,540,540,450
450,540,540,540
540,540,450,540
540,540,540,630
540,630,390,630
540,180,630,180
630,180,630,60
630,60,450,60
450,60,450,120
600,270,690,270
690,270,600,270
690,270,690,180
690,180,690,270
690,180,630,180
630,180,690,180
690,270,690,390
690,390,690,270
690,390,690,450
690,450,690,390
690,450,540,450
540,450,690,450
690,450,720,480
720,480,690,450
720,480,720,360
720,360,720,480
720,360,690,390
690,390,720,360
720,360,720,180
720,180,720,360
720,180,690,180
690,180,720,180
60,630,60,720
60,720,210,720
210,720,360,720
360,720,690,720
690,720,690,630
690,630,690,540
540,540,690,540
540,630,690,630
690,540,540,540
690,630,720,630
720,630,720,480
